Number	Northing	Easting	Elevation	Raw Desc	Latitude	Longitude
10142	2113140.858390	6763465.47768	0.00	A1 R1 P42	38.96252432350	-121.29027908800
10143	2113140.836620	6763468.81085	0.00	A1 R1 P43	38.96252419220	-121.29026736600
10144	2113140.815250	6763472.14423	0.00	A1 R1 P44	38.96252406200	-121.29025564300
10145	2113140.793280	6763475.47757	0.00	A1 R1 P45	38.96252393030	-121.29024392100
10146	2113140.771630	6763478.81068	0.00	A1 R1 P46	38.96252379930	-121.29023219900
10147	2113140.749850	6763482.14385	0.00	A1 R1 P47	38.96252366800	-121.29022047700
10148	2113140.728510	6763485.47723	0.00	A1 R1 P48	38.96252353800	-121.29020875500
10149	2113140.706500	6763488.81063	0.00	A1 R1 P49	38.96252340600	-121.29019703200
10150	2113140.684800	6763492.14385	0.00	A1 R1 P50	38.96252327500	-121.29018531000
10106	2113141.639190	6763345.48020	0.00	A1 R1 P6	38.96252903980	-121.29070108500
10151	2113140.663410	6763495.47728	0.00	A1 R1 P51	38.96252314470	-121.29017358700
10152	2113140.641590	6763498.81055	0.00	A1 R1 P52	38.96252301340	-121.29016186500
10153	2113140.619730	6763502.14362	0.00	A1 R1 P53	38.96252288180	-121.29015014400
10154	2113140.598040	6763505.47686	0.00	A1 R1 P54	38.96252275080	-121.29013842200
10155	2113140.576670	6763508.81029	0.00	A1 R1 P55	38.96252262060	-121.29012669900
10156	2113140.554760	6763512.14362	0.00	A1 R1 P56	38.96252248900	-121.29011497700
10157	2113140.533050	6763515.47668	0.00	A1 R1 P57	38.96252235790	-121.29010325500
10158	2113140.511300	6763518.80986	0.00	A1 R1 P58	38.96252222670	-121.29009153300
10159	2113140.489910	6763522.14329	0.00	A1 R1 P59	38.96252209640	-121.29007981100
10160	2113140.468030	6763525.47661	0.00	A1 R1 P60	38.96252196490	-121.29006808800
10107	2113141.617330	6763348.81354	0.00	A1 R1 P7	38.96252890830	-121.29068936200
10161	2113140.446310	6763528.80969	0.00	A1 R1 P61	38.96252183370	-121.29005636700
10162	2113140.424540	6763532.14286	0.00	A1 R1 P62	38.96252170250	-121.29004464500
10163	2113140.403150	6763535.47629	0.00	A1 R1 P63	38.96252157220	-121.29003292200
10164	2113140.381260	6763538.80961	0.00	A1 R1 P64	38.96252144060	-121.29002120000
10165	2113140.359550	6763542.14269	0.00	A1 R1 P65	38.96252130950	-121.29000947800
10166	2113140.337790	6763545.47586	0.00	A1 R1 P66	38.96252117820	-121.28999775700
